Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_SubmitPoolingOrder_Logout,,"Sehati Mobile Automation Test 
"sendKeys(findTestObject(""poolingOrderPage/datePicker/fieldTextEnterDate_XPATH""), ""09/09/2001"")",,,,2023-08-30 14:08:48,2023-08-30 14:08:49,1.001s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,2023-08-30 14:08:49,2023-08-30 14:08:49,0.513s,PASSED
"tap(findTestObject(""poolingOrderPage/datePicker/buttonInputOkDatePicker""), 0)",,,,2023-08-30 14:08:49,2023-08-30 14:08:52,2.312s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,2023-08-30 14:08:52,2023-08-30 14:08:52,0.514s,PASSED
"tap(findTestObject(""poolingOrderPage/fieldTextNamaIbu""), 0)",,,,2023-08-30 14:08:52,2023-08-30 14:08:53,0.720s,PASSED
"sendKeys(findTestObject(""poolingOrderPage/fieldTextNamaIbu""), ""TEST IBU\n"")",,,,2023-08-30 14:08:53,2023-08-30 14:08:55,2.066s,PASSED
hideKeyboard(),,,,2023-08-30 14:08:55,2023-08-30 14:08:55,0.375s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonJenisKelaminDDL""), 0)",,,,2023-08-30 14:08:55,2023-08-30 14:08:56,0.545s,PASSED
"delay(1.5, STOP_ON_FAILURE)",,,,2023-08-30 14:08:56,2023-08-30 14:08:58,1.515s,PASSED
"radioButton1TapAtPosition(970, 1360)",,,,2023-08-30 14:08:58,2023-08-30 14:08:58,0.001s,PASSED
"tapAtPosition(x, y)",,,,2023-08-30 14:08:58,2023-08-30 14:08:59,1.333s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonOkDDL""), 0)",,,,2023-08-30 14:08:59,2023-08-30 14:08:59,0.351s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2023-08-30 14:08:59,2023-08-30 14:09:00,1.007s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonStatusPernikahanDDL""), 0)",,,,2023-08-30 14:09:00,2023-08-30 14:09:01,0.784s,PASSED
"delay(1.5, STOP_ON_FAILURE)",,,,2023-08-30 14:09:01,2023-08-30 14:09:02,1.514s,PASSED
"radioButton1TapAtPosition(970, 1360)",,,,2023-08-30 14:09:02,2023-08-30 14:09:03,0.002s,PASSED
"tapAtPosition(x, y)",,,,2023-08-30 14:09:03,2023-08-30 14:09:03,0.729s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonOkDDL""), 0)",,,,2023-08-30 14:09:03,2023-08-30 14:09:04,0.756s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2023-08-30 14:09:04,2023-08-30 14:09:05,1.008s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonTypeIdentitasDDL""), 0)",,,,2023-08-30 14:09:05,2023-08-30 14:09:07,1.830s,PASSED
"delay(1.5, STOP_ON_FAILURE)",,,,2023-08-30 14:09:07,2023-08-30 14:09:08,1.516s,PASSED
"radioButton1TapAtPosition(970, 1360)",,,,2023-08-30 14:09:08,2023-08-30 14:09:08,0.001s,PASSED
"tapAtPosition(x, y)",,,,2023-08-30 14:09:08,2023-08-30 14:09:09,0.742s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonOkDDL""), 0)",,,,2023-08-30 14:09:09,2023-08-30 14:09:11,1.789s,PASSED
"swipe(0, 1600, 0, 1083)",,,,2023-08-30 14:09:11,2023-08-30 14:09:12,1.072s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,2023-08-30 14:09:12,2023-08-30 14:09:12,0.514s,PASSED
